"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\database\seeders\BlogSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\wamp64\www\role_and_permissions\database\seeders\CreateAdminUserSeeder.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 3, 8, 33
"c:\wamp64\www\role_and_permissions\database\seeders\DatabaseSeeder.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 11, 9, 50
"c:\wamp64\www\role_and_permissions\database\seeders\DepartmentSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\DesignationSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\DomainSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\FileManagerControllerSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\LanguageSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\MenuSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\NewsSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\wamp64\www\role_and_permissions\database\seeders\PagesSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 5, 22
"c:\wamp64\www\role_and_permissions\database\seeders\PermissionTableSeeder.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 3, 5, 60
"c:\wamp64\www\role_and_permissions\database\seeders\StatusSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3146, 0, 1, 3147
"c:\wamp64\www\role_and_permissions\package.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\wamp64\www\role_and_permissions\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"c:\wamp64\www\role_and_permissions\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
